# Dishes
Dish,Portions,Base yield,Scale factor
DISH Chequered Flag Chicken Goujons,200.000,1.000 portion,200.000

# Ingredients (aggregated)
Ingredient,Unit,Total Qty,Unit Cost,Total Cost
Chicken Goujons,kg,30.000,22.00,660.00
Dijon Mustard,kg,0.630,16.00,10.08
Garlic,kg,0.924,6.00,5.54
Garlic Powder,kg,0.160,22.00,3.52
Lemon,kg,10.000,7.00,70.00
Lemon Juice,liter,3.780,8.00,30.24
Lemon Zest,kg,2.070,25.00,51.75
Mayonnaise,kg,35.700,12.00,428.40
Pepper,kg,2.526,32.00,80.83
Potato Chips,kg,20.000,16.00,320.00
Salt,kg,4.210,2.00,8.42

"# Subrecipes (aggregated, for bulk prep)"
Subrecipe,Unit,Total Qty
BULK Citrus Aioli,portion,6.000
BULK Lemon Pepper Seasoning,portion,2.000
