# Dishes
Dish,Portions,Base yield,Scale factor
DISH Pole Position Burger,300.000,1.000 portion,300.000

# Ingredients (aggregated)
Ingredient,Unit,Total Qty,Unit Cost,Total Cost
Apple Cider Vinegar,liter,17.550,10.00,175.50
Beef Patty,kg,54.000,32.00,1728.00
Burger Bun,piece,300.000,1.50,450.00
Butter,kg,11.520,22.00,253.44
Cheddar Cheese,kg,34.800,26.00,904.80
Chives,kg,2.340,65.00,152.10
Dijon Mustard,kg,16.740,16.00,267.84
Extra Virgin Olive Oil,liter,11.700,22.00,257.40
Flour,kg,5.760,4.00,23.04
Garlic,kg,0.720,6.00,4.32
Gherkin Brine,liter,11.700,5.00,58.50
Ketchup,kg,14.400,6.00,86.40
Mayonnaise,kg,136.800,12.00,1641.60
Milk,kg,43.200,4.00,172.80
Onion,kg,62.700,3.00,188.10
Parsley,kg,2.340,38.00,88.92
Pasta,kg,57.600,6.00,345.60
Pepper,kg,1.449,32.00,46.37
Pickles,kg,56.400,10.00,564.00
Potatoes,kg,351.000,3.50,1228.50
Salt,kg,4.374,2.00,8.75
Sugar,kg,3.600,3.00,10.80
Tomato,kg,19.800,5.00,99.00
Vegetable Stock,liter,23.400,7.00,163.80
Vinegar,liter,2.880,4.00,11.52

"# Subrecipes (aggregated, for bulk prep)"
Subrecipe,Unit,Total Qty
BULK Burger Sauce,portion,9.000
BULK Potato Salad,portion,45.000
BULK Tomato Onion Jam,portion,6.000
SUB Mac And Cheese Base,portion,18.000
Dish,Portions,Base yield,Scale factor
DISH Lobster Roll,250.000,1.000 portion,250.000

# Ingredients (aggregated)
Ingredient,Unit,Total Qty,Unit Cost,Total Cost
Beer,liter,14.000,9.00,126.00
Brioche Bun,piece,250.000,2.00,500.00
Chives,kg,5.940,65.00,386.10
Cornstarch,kg,3.150,6.00,18.90
Dijon Mustard,kg,6.728,16.00,107.64
Flour,kg,15.750,4.00,63.00
Garlic,kg,1.155,6.00,6.93
Garlic Powder,kg,0.070,22.00,1.54
Lemon Juice,liter,10.665,8.00,85.32
Lemon Zest,kg,0.787,25.00,19.69
Lobster Meat,kg,90.000,379.00,34110.00
Mayonnaise,kg,44.625,12.00,535.50
Onion Powder,kg,0.070,22.00,1.54
Pepper,kg,0.767,32.00,24.56
Salt,kg,1.502,2.00,3.00

"# Subrecipes (aggregated, for bulk prep)"
Subrecipe,Unit,Total Qty
BULK Batter,portion,5.000
BULK Citrus Aioli,portion,7.500
BULK Lobster Salad,portion,30.000
Dish,Portions,Base yield,Scale factor
"DISH Full Throttle Lobster, Mac And Cheese Croquette",400.000,1.000 portion,400.000

# Ingredients (aggregated)
Ingredient,Unit,Total Qty,Unit Cost,Total Cost
Apple Cider Vinegar,liter,16.000,10.00,160.00
Bay Leaves,kg,0.064,38.00,2.43
Chives,kg,132.480,65.00,8611.20
Lemon,kg,20.000,7.00,140.00
Lemon Zest,kg,132.480,25.00,3312.00
Lobster Meat,kg,1374.480,379.00,520927.92
Mustard Seeds,kg,9.600,16.00,153.60
Pepper,kg,16.720,32.00,535.04
Potato Chips,kg,48.000,16.00,768.00
Salt,kg,17.200,2.00,34.40
Shallots,kg,1.600,14.00,22.40
Sugar,kg,4.800,3.00,14.40
Water,liter,48.000,0.10,4.80

"# Subrecipes (aggregated, for bulk prep)"
Subrecipe,Unit,Total Qty
BULK Lobster Mac And Cheese,portion,120.000
BULK Pickled Mustard Seeds,portion,4.000
Dish,Portions,Base yield,Scale factor
DISH Margherita Pizza,350.000,1.000 portion,350.000

# Ingredients (aggregated)
Ingredient,Unit,Total Qty,Unit Cost,Total Cost
Basil,kg,7.980,42.00,335.16
Garlic,kg,8.960,6.00,53.76
Mozzarella Cheese,kg,42.000,22.00,924.00
Olive Oil,liter,12.950,18.00,233.10
Oregano,kg,4.480,30.00,134.40
Pepper,kg,2.240,32.00,71.68
Pizza Base,piece,350.000,2.50,875.00
Salt,kg,2.240,2.00,4.48
Tomato,kg,168.000,5.00,840.00
Tomato Paste,kg,22.400,12.00,268.80

"# Subrecipes (aggregated, for bulk prep)"
Subrecipe,Unit,Total Qty
BULK Pizza Sauce,portion,28.000
Dish,Portions,Base yield,Scale factor
DISH Hot Lap Honey & Pepperoni Pizza,500.000,1.000 portion,500.000

# Ingredients (aggregated)
Ingredient,Unit,Total Qty,Unit Cost,Total Cost
Basil,kg,8.000,42.00,336.00
Butter,kg,0.400,22.00,8.80
Garlic,kg,16.000,6.00,96.00
