# Dishes
Dish,Portions,Base yield,Scale factor
DISH Hot Lap Honey & Pepperoni Pizza,500.000,1.000 portion,500.000

# Ingredients (aggregated)
Ingredient,Unit,Total Qty,Unit Cost,Total Cost
Basil,kg,8.000,42.00,336.00
Butter,kg,0.400,22.00,8.80
Garlic,kg,16.000,6.00,96.00
Honey,kg,36.000,26.00,936.00
Lemon Juice,liter,1.600,8.00,12.80
Mozzarella Cheese,kg,60.000,22.00,1320.00
Olive Oil,liter,20.000,18.00,360.00
Oregano,kg,8.000,30.00,240.00
Pepper,kg,4.000,32.00,128.00
Pepperoni,kg,40.000,28.00,1120.00
Red Pepper Flakes,kg,2.000,28.00,56.00
Salt,kg,4.000,2.00,8.00
Tomato,kg,300.000,5.00,1500.00
Tomato Paste,kg,40.000,12.00,480.00

"# Subrecipes (aggregated, for bulk prep)"
Subrecipe,Unit,Total Qty
BULK Hot Honey Drizzle,portion,10.000
BULK Pizza Sauce,portion,50.000
