# Dishes
Dish,Portions,Base yield,Scale factor
DISH Margherita Pizza,350.000,1.000 portion,350.000

# Ingredients (aggregated)
Ingredient,Unit,Total Qty,Unit Cost,Total Cost
Basil,kg,7.980,42.00,335.16
Garlic,kg,8.960,6.00,53.76
Mozzarella Cheese,kg,42.000,22.00,924.00
Olive Oil,liter,12.950,18.00,233.10
Oregano,kg,4.480,30.00,134.40
Pepper,kg,2.240,32.00,71.68
Pizza Base,piece,350.000,2.50,875.00
Salt,kg,2.240,2.00,4.48
Tomato,kg,168.000,5.00,840.00
Tomato Paste,kg,22.400,12.00,268.80

"# Subrecipes (aggregated, for bulk prep)"
Subrecipe,Unit,Total Qty
BULK Pizza Sauce,portion,28.000
